"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CD8A",0,4.06681084529283,0.985,0.186,0
"NKG7",0,2.69140443611607,0.959,0.175,0
"KLRK1",0,3.43274701846088,0.933,0.181,0
"CD8B",0,3.52951783897005,0.832,0.115,0
"CST7",0,2.63227404223788,0.929,0.219,0
"PDCD1",0,3.19363655186037,0.778,0.133,0
"CCL4L1",6.02327159840945e-314,5.26515708359482,0.778,0.146,1.4265516453673e-309
"CCL4L2",6.02327159840945e-314,5.26515708359482,0.778,0.146,1.4265516453673e-309
"GZMK",9.02749002759099e-307,2.83568457618913,0.811,0.162,2.13807073813465e-302
"PRF1",5.28497476239768e-301,2.39133545239992,0.842,0.204,1.25169342272627e-296
"CXCL13",6.12450843466212e-287,2.94258073351314,0.549,0.056,1.45052857766538e-282
"LAG3",1.5069223838469e-285,3.3530510898849,0.622,0.084,3.56899497390301e-281
"CCL4",5.60013361051237e-282,2.9687006867244,0.811,0.173,1.32633564431375e-277
"TOX",3.877483724675e-276,2.88996867231784,0.797,0.18,9.18343245352028e-272
"TIGIT",2.01184771975997e-275,3.0744723764091,0.818,0.201,4.7648601394795e-271
"CCL5",1.224546442139e-271,2.86263628068532,1,0.937,2.90021579356202e-267
"DTHD1",1.35441753299889e-265,3.75004765862602,0.659,0.118,3.20780248515457e-261
"CD27",3.08962953483648e-257,2.65745259604697,0.872,0.263,7.31747859030672e-253
"CTSW",2.05553685447035e-240,2.36361248027845,0.694,0.138,4.86833348612758e-236
"CD2",8.60101104245507e-237,2.11069722196203,0.957,0.348,2.03706345529506e-232
"FCRL3",1.39981985578346e-232,3.21718969407829,0.707,0.166,3.31533334643754e-228
"LYST",1.82566038429776e-232,3.08795142999351,0.962,0.598,4.32389405417082e-228
"CCL3L3",3.75769724117196e-232,3.28866057258841,0.506,0.066,8.89973014599166e-228
"SIRPG",2.44980373830268e-231,2.70521833178118,0.743,0.18,5.80211517379606e-227
"IFNG",6.59177685182145e-231,3.22381233115278,0.543,0.08,1.56119642958539e-226
"GZMA",5.82089989124729e-230,2.10534369173672,0.747,0.166,1.37862193024301e-225
"ITM2A",1.79581753562033e-227,2.59374197706823,0.849,0.284,4.25321425136319e-223
"PRKCH",2.72388622697451e-222,2.5632521067295,0.895,0.342,6.45125213996643e-218
"CBLB",2.10590184400025e-220,3.00290609139721,0.936,0.488,4.98761792733019e-216
"VCAM1",6.18078310049408e-209,3.79925555654646,0.465,0.062,1.46385666952102e-204
"HAVCR2",1.58271974653979e-197,3.93696211929639,0.912,0.642,3.74851344770483e-193
"IL2RB",7.82020796069095e-197,1.80130718242355,0.767,0.23,1.85213805341004e-192
"CD7",1.71815683883099e-194,2.04554752454513,0.747,0.207,4.06928265708732e-190
"IL32",1.88498106988833e-194,1.37294978222954,0.968,0.413,4.46438916592353e-190
"CD3D",5.91627433194914e-192,1.7741061942206,0.943,0.357,1.40121041277884e-187
"KLRC4",2.00726845101787e-191,3.19484736121706,0.534,0.099,4.75401459939073e-187
"CCL3",3.63064510270744e-190,2.21153161269129,0.543,0.1,8.5988198612523e-186
"CD3E",3.29088512295775e-185,1.82245401221451,0.927,0.356,7.79413232521314e-181
"TNFRSF9",3.13691232786506e-184,4.3353598347502,0.946,0.802,7.42946315731562e-180
"B2M",1.11002377347497e-177,1.44360135815203,1,0.995,2.62898030509813e-173
"DGKH",3.02903651564367e-176,3.70037585616158,0.501,0.094,7.17397008365047e-172
"PYHIN1",4.59999913610412e-172,2.56729831781729,0.726,0.232,1.0894637953949e-167
"SRGN",1.00296519474415e-171,1.57937469575441,0.971,0.568,2.37542276723205e-167
"CTLA4",1.1710046562682e-171,1.91892073382888,0.601,0.142,2.77340742790561e-167
"SLA",1.05824726507235e-166,2.22287871854972,0.856,0.361,2.50635282259736e-162
"PSTPIP1",2.19187146228244e-165,2.79017805337601,0.622,0.169,5.19122837126974e-161
"DENND2D",1.73444814848442e-153,2.29627790987476,0.818,0.364,4.1078669948705e-149
"PTPN7",2.75034992111018e-153,2.28692104476542,0.708,0.246,6.51392875315734e-149
"PTPRCAP",8.06815917141831e-152,1.57276096711121,0.947,0.505,1.91086281815871e-147
"ATHL1",1.44822867020547e-150,3.03853428335761,0.641,0.207,3.42998478251465e-146
"HLA-A",1.49565619216875e-150,1.27498914517212,1,0.977,3.54231212553247e-146
"KLRC3",1.1819577583377e-148,3.69879553952186,0.406,0.071,2.79934875484701e-144
"IL2RG",2.1159750234002e-148,1.77829229188731,0.905,0.456,5.01147524542104e-144
"IKZF3",1.33582731176207e-144,1.64773362612222,0.994,0.947,3.16377340517728e-140
"DUSP2",5.87406556606344e-144,1.96198379390332,0.785,0.325,1.39121368866647e-139
"RGS2",3.25479836239028e-143,3.21535246157701,0.747,0.343,7.70866444148514e-139
"EOMES",4.28691875064037e-143,3.9439376475521,0.372,0.058,1.01531383690167e-138
"TTN",4.89471924656555e-143,2.13005101801053,0.867,0.495,1.15926530635659e-138
"AMICA1",2.32473085388698e-140,2.50925812243414,0.567,0.158,5.50589255434592e-136
"CD3G",1.28577298157861e-139,1.6211114697505,0.954,0.598,3.04522472957078e-135
"SH2D1A",1.85168151609615e-135,2.26968765619183,0.615,0.191,4.38552250272213e-131
"PCED1B",2.27701785847184e-134,2.13664583797131,0.63,0.202,5.39288909600471e-130
"HLA-B",1.19947440839328e-133,1.15263429685391,1,0.969,2.84083518883864e-129
"PTPRC",2.28736665485848e-133,1.51838846716141,0.993,0.666,5.41739918536682e-129
"LCK",2.31637738934078e-133,1.67756914098493,0.795,0.335,5.48610820891471e-129
"HCST",2.7289594515499e-133,1.68399149182048,0.764,0.291,6.46326756505079e-129
"HLA-H",1.36946545934436e-132,1.34494586344792,0.997,0.927,3.24344199391119e-128
"SH2D2A",4.06872691252889e-132,1.89021273308844,0.627,0.201,9.63637281963343e-128
"TNFRSF1B",5.61185975504844e-132,2.38078495029503,0.862,0.528,1.32911286438567e-127
"LSP1",2.88252342136047e-130,1.56224011285552,0.887,0.445,6.82696847115014e-126
"CCDC141",1.1846702305783e-129,2.4184348753339,0.616,0.209,2.80577297410164e-125
"CD84",3.19232914886574e-123,1.79413264396603,0.973,0.862,7.56071235617361e-119
"GBP5",5.56316150584866e-123,2.23633921608522,0.845,0.537,1.3175791710452e-118
"CLEC2D",9.12346920907579e-123,1.74984432495377,0.939,0.699,2.16080244747751e-118
"HLA-C",1.00344429875108e-121,1.06399601977424,1,0.972,2.37655747716207e-117
"CXCR6",2.37798662833314e-121,2.81912780031778,0.42,0.095,5.63202353054421e-117
"ID2",2.00237435138203e-120,2.3343140246794,0.756,0.388,4.7424234138132e-116
"RGS1",5.65744360431284e-120,2.05042619335784,0.872,0.516,1.33990894324545e-115
"XCL2",4.11260573597923e-118,3.70744770221601,0.302,0.045,9.74029542509321e-114
"LCP2",1.45542397577036e-116,1.67237709741291,0.821,0.399,3.44702614421451e-112
"FYN",1.73045301969076e-115,2.03372282478514,0.793,0.424,4.09840493183561e-111
"KLRC2",2.19584454120344e-115,3.50277323136609,0.356,0.066,5.20063821138622e-111
"PAM",4.46274057195157e-111,2.43325783205736,0.574,0.195,1.05695547706101e-106
"KLRC4-KLRK1",8.9664087646305e-111,2.7256043211905,0.293,0.044,2.12360425181509e-106
"CD38",9.22390240815753e-111,2.64584991213692,0.482,0.137,2.18458904634803e-106
"SARDH",8.71828248743889e-110,3.15287170569553,0.345,0.068,2.06483802432503e-105
"FASLG",9.91933625557638e-110,3.12989226568743,0.323,0.058,2.34929559877071e-105
"SNAP47",2.22029912731365e-109,3.18122566713881,0.538,0.203,5.25855645312964e-105
"TARP",2.68230855568218e-107,2.0554992811065,0.416,0.101,6.35277958327767e-103
"ASB2",5.41915629554882e-106,3.03448068300714,0.37,0.08,1.28347297703778e-101
"RARRES3",1.06397809860498e-104,1.70118075167831,0.728,0.363,2.51992572873604e-100
"TRAT1",6.41324246760558e-104,2.33738552731048,0.541,0.184,1.51891234602771e-99
"ITGA4",5.97511300179605e-103,1.97141034755612,0.777,0.386,1.41514576334538e-98
"RNF19A",4.41981092024381e-101,2.13872930822251,0.809,0.507,1.04678801835054e-96
"CD96",3.98205480913645e-99,1.59959085002254,0.867,0.601,9.43109860995878e-95
"ZAP70",5.08298930283678e-99,1.18704911374334,0.728,0.307,1.20385518648386e-94
"APOBEC3G",1.95918976004418e-98,2.21912849502882,0.684,0.327,4.64014502768863e-94
"SIT1",4.70019014398584e-98,1.8038601266488,0.566,0.204,1.11319303370161e-93
"KLRD1",1.98749515250831e-97,2.16687590794076,0.955,0.902,4.70718351920067e-93
"GPR174",1.35805861409411e-96,2.37023433294942,0.504,0.163,3.21642602162049e-92
"PRDM1",3.32080876475112e-96,1.54207897847333,0.663,0.291,7.86500347843656e-92
"XCL1",6.7160692237124e-93,3.02968976986271,0.282,0.051,1.59063383494405e-88
"PTPN22",7.67386615705284e-92,2.00832344234696,0.535,0.192,1.81747846063639e-87
"JAKMIP1",1.29689993494491e-91,3.0166974711612,0.295,0.058,3.07157780592353e-87
"ARHGAP9",3.47587739397421e-91,1.46551457051207,0.746,0.359,8.23226801988851e-87
"ATXN1",1.5430045770865e-87,2.10745851549186,0.644,0.299,3.65445204037166e-83
"GFOD1",8.3790773305855e-86,3.76033660105275,0.365,0.1,1.98450067497587e-81
"HSPA1B",8.87932818291878e-86,3.26128447479499,0.658,0.38,2.10298008684248e-81
"EVL",4.17023108001053e-85,1.04651007064214,0.814,0.441,9.87677528989693e-81
"PSMB9",6.33144357623402e-85,1.53811858444043,0.803,0.544,1.49953909659526e-80
"IL10RA",1.28192877281477e-84,1.80908241954802,0.659,0.303,3.03612010553449e-80
"IFITM1",4.32797091224931e-84,1.11793951411507,0.901,0.601,1.02503663085713e-79
"FYB",6.70387204654668e-84,0.546714015409439,0.94,0.553,1.58774505550411e-79
"GIMAP4",8.1392083753107e-83,1.46238640703136,0.676,0.32,1.92769011160859e-78
"ETV1",8.18579159047603e-83,3.69040162680275,0.469,0.168,1.93872288028834e-78
"SYTL3",9.83296851681352e-83,2.06947999773713,0.531,0.209,2.32884026352212e-78
"RAC2",1.9051095591841e-82,1.08384193598149,0.898,0.545,4.51206147997161e-78
"GZMB",3.78401375279001e-81,2.34289254332622,0.352,0.091,8.96205817210786e-77
"ZBED2",4.15575596390528e-81,3.96590177477905,0.279,0.059,9.84249242491326e-77
"ABCB1",5.72870435189674e-81,2.32796952103405,0.306,0.069,1.35678633870322e-76
"TTC24",7.69264360152782e-81,2.81546768406485,0.26,0.049,1.82192571058585e-76
"CCR5",7.99232387106843e-81,2.47561474074165,0.392,0.119,1.89290198562385e-76
"GBP2",9.97067512458496e-81,2.04186422043584,0.707,0.412,2.3614546965067e-76
"LBH",1.44867305462998e-80,1.5703924507742,0.74,0.397,3.43103726258564e-76
"PTPN6",1.35555594910223e-79,1.48218311088913,0.69,0.333,3.21049870985372e-75
"HLA-E",9.57947286929882e-78,0.866900172416143,0.994,0.968,2.26880235436473e-73
"UBASH3A",1.05461882038121e-77,2.03811485338932,0.418,0.133,2.49775921419086e-73
"SEPT1",2.27233478399952e-77,1.37758383294922,0.705,0.36,5.38179770242445e-73
"SLAMF7",4.02274250467468e-77,2.59155017198287,0.784,0.581,9.52746334807152e-73
"MAP4K1",4.23155149186551e-77,1.49782567301101,0.676,0.337,1.00220065533343e-72
"TOX2",6.20703830645411e-77,2.24859068036347,0.267,0.054,1.47007495250059e-72
"TRERF1",6.84674688281415e-77,2.00480879434553,0.473,0.178,1.6215835317257e-72
"RASSF5",2.18740789275662e-76,1.85148921626596,0.584,0.269,5.18065685320478e-72
"GPR171",3.1476874496105e-76,1.77323307924088,0.423,0.14,7.45498295565751e-72
"ITK",4.80750662710577e-76,1.34770503463892,0.619,0.272,1.13860986956373e-71
"DNAJB1",4.88396871818949e-76,2.2235126204608,0.856,0.716,1.156719151216e-71
"RUNX3",1.42255000021079e-75,1.27149950930568,0.665,0.319,3.36916742049923e-71
"GZMH",2.09650451435559e-75,1.57010893855857,0.331,0.085,4.96536129179977e-71
"COTL1",3.84925933878331e-75,1.56275857399914,0.855,0.627,9.1165858179744e-71
"ITGB2",6.13516925912173e-75,1.07965267261016,0.781,0.414,1.45305348733039e-70
"MYO7A",1.22454961645692e-74,3.25578649721769,0.341,0.098,2.90022331161656e-70
"KCNK5",1.31970633722152e-74,3.40727660880536,0.284,0.066,3.12559248907544e-70
"ITGAL",2.94009435874417e-74,1.27652930742274,0.87,0.621,6.9633194792497e-70
"HSPA1A",3.66578965051681e-74,3.08553773385653,0.73,0.475,8.68205620828402e-70
"TRAF5",5.83301468624306e-74,2.16063053960612,0.813,0.602,1.38149119828981e-69
"ACTB",2.77069556851042e-73,0.883433026114366,0.999,0.998,6.56211538446008e-69
"SLAMF6",2.88203205614422e-73,1.92350835033774,0.74,0.446,6.82580472177197e-69
"NLRC5",4.20441472535603e-73,1.35053047241988,0.772,0.462,9.95773583553322e-69
"TMSB4X",2.20994185030235e-72,0.757593584491861,1,0.815,5.23402627825609e-68
"SPN",3.77426043560147e-72,1.11610069455356,0.982,0.933,8.93895841567852e-68
"INPP4B",4.11230597960838e-72,2.07014138926119,0.719,0.432,9.73958548210449e-68
"CCDC64",1.46856590848397e-71,2.73027190237988,0.314,0.084,3.47815149765343e-67
"CRTAM",3.36621532438983e-71,3.5903241257344,0.729,0.47,7.97254437428487e-67
"DOCK8",7.0485893435292e-71,1.20475077381441,0.792,0.445,1.66938790012145e-66
"SLFN11",2.60367469328448e-70,1.44545228853559,0.468,0.167,6.16654314357497e-66
"LCP1",4.42109799441151e-70,0.805201833740858,0.897,0.541,1.04709284899642e-65
"WIPF1",1.31795428736838e-68,1.25384646463821,0.845,0.618,3.12144293420328e-64
"AKNA",7.04902736787929e-66,1.2716313737869,0.901,0.633,1.66949164180853e-61
"ICOS",9.97416506226738e-66,1.46547847412121,0.429,0.151,2.36228125334741e-61
"DFNB31",1.27770793340598e-65,2.89451025644679,0.469,0.206,3.02612346947873e-61
"CD97",2.35088772632435e-65,1.99942219474699,0.722,0.461,5.5678424910266e-61
"CD247",5.59279951478897e-65,0.829031372556473,0.578,0.251,1.32459863708262e-60
"RASAL3",2.0889956827273e-64,1.37730557361735,0.497,0.202,4.94757737497133e-60
"RAB27A",1.85019253757427e-63,2.2002790703012,0.948,0.866,4.38199600599089e-59
"ENTPD1",2.75194023576681e-63,2.06631118782064,0.983,0.953,6.51769525439012e-59
"ATP8A1",2.99628543370824e-63,1.85168462335297,0.455,0.18,7.0964024211946e-59
"CD6",4.04803880780432e-63,0.905381951932569,0.529,0.218,9.58737511240375e-59
"CXCR3",5.81415045771867e-63,1.71685688313289,0.408,0.147,1.37702339440609e-58
"TAP1",6.437767743868e-62,1.61222623488875,0.791,0.586,1.5247209124577e-57
"IGFLR1",6.97010143758067e-62,2.06639437722933,0.521,0.255,1.65079882447661e-57
"TRAF1",1.65586229362933e-61,1.50362088470128,0.52,0.228,3.92174425623171e-57
"PARVG",1.689749179506e-61,1.21747972916574,0.573,0.273,4.00200195674201e-57
"CCND2",2.65028794344561e-60,1.65033247910268,0.627,0.337,6.27694196525658e-56
"PVRIG",1.28634668530645e-59,1.55682327915149,0.554,0.274,3.04658348947979e-55
"NAB1",1.4219546864497e-59,2.72412724458417,0.492,0.232,3.36775747938747e-55
"RALGDS",4.51813483399139e-59,2.34075210929753,0.566,0.299,1.07007505408252e-54
"CORO1A",8.49953653930076e-59,0.701993813728157,0.89,0.548,2.01303023396799e-54
"TP53INP1",2.21459275423221e-58,2.05440343170466,0.567,0.286,5.24504147912358e-54
"MIR155HG",3.06202623243393e-58,2.80509131411043,0.344,0.119,7.25210292889651e-54
"GALM",6.17969121356965e-58,1.9946447110823,0.796,0.621,1.46359806702184e-53
"SLC38A1",1.40308404105041e-57,0.992900867750008,0.81,0.497,3.32306424282378e-53
"GIMAP5",1.97180429845068e-57,1.11658673121331,0.56,0.26,4.67002130045059e-53
"SKAP1",2.9335640044763e-57,1.3149938783173,0.58,0.28,6.94785298820166e-53
"THEMIS",3.21209872873209e-57,1.452375429465,0.45,0.188,7.60753462912909e-53
"GPRIN3",4.09258032315215e-57,1.79944655824678,0.515,0.244,9.69286723735355e-53
"RNF213",8.14449027611036e-57,1.01326707099026,0.987,0.945,1.92894107699398e-52
"CFLAR",4.7249332933204e-56,1.0094898509243,1,0.995,1.11905320119e-51
"DUSP4",6.67010822455012e-56,1.63585024184144,0.719,0.462,1.57974843190245e-51
"SLA2",9.58741489032656e-56,1.97474231131056,0.739,0.512,2.27068334262494e-51
"LAPTM5",1.16797931510495e-55,0.579012393287986,0.939,0.595,2.76624220989456e-51
"AKAP5",3.34475485674021e-55,2.35706087210368,0.877,0.764,7.9217174027035e-51
"JAK3",7.10376287657936e-55,0.980593086299099,0.941,0.849,1.68245519968906e-50
"OASL",2.290477430223e-54,2.05724776435736,0.337,0.117,5.42476674574015e-50
"ITGB7",7.63818304650311e-54,2.28239954806539,0.37,0.142,1.8090272727338e-49
"ARAP2",1.32879832940455e-53,1.39481191562339,0.559,0.293,3.14712596336174e-49
"PDE7B",1.79944435078346e-53,3.09713139820593,0.655,0.451,4.26180400039555e-49
"GIMAP6",1.95969821266023e-53,1.77784410235915,0.446,0.193,4.64134924686448e-49
"LOC554223",3.07173650422753e-53,1.25957809349396,0.479,0.217,7.27510073661248e-49
"DGKZ",3.23471297750369e-52,1.64909578426393,0.454,0.205,7.66109421591975e-48
"IPCEF1",3.36660721947139e-52,1.49429595159427,0.714,0.462,7.97347253859605e-48
"SPATA13",4.0226903853622e-52,1.5812489538369,0.813,0.628,9.52733990869183e-48
"CDC42SE2",5.31766723143977e-52,1.01028453594967,0.852,0.623,1.2594363070942e-47
"HLA-G",2.96920602521255e-51,1.12887538851153,0.877,0.695,7.0322675501134e-47
"PARP8",4.09199745057277e-50,1.5263665955323,0.623,0.347,9.69148676193655e-46
"ASXL2",1.43009474620023e-49,2.4889038224602,0.567,0.343,3.38703639690062e-45
"CSF1",2.54158106647089e-49,2.48169716414507,0.316,0.117,6.01948059782966e-45
"TRIM22",6.62146948832211e-49,1.12248137011742,0.753,0.482,1.56822883361421e-44
"MIAT",1.44097875876809e-48,1.3699890938752,0.465,0.218,3.41281409226635e-44
"RASGRP1",2.1510976148577e-48,1.57871867055871,0.476,0.225,5.09465959102897e-44
"SASH3",3.11985388301931e-48,1.12457019087848,0.608,0.333,7.38906193654293e-44
"SFMBT2",4.71938695888362e-48,2.06223548218049,0.697,0.491,1.117739607342e-43
"DOK2",7.30302827482108e-48,1.11864379805589,0.426,0.177,1.72964921660863e-43
"CNOT6L",2.60810278692813e-47,1.34150251929836,0.709,0.488,6.17703064056059e-43
"MCTP2",3.18222285353468e-47,1.73780009742674,0.742,0.562,7.53677660631155e-43
"RIN3",1.27341520876644e-46,1.18052663067547,0.462,0.215,3.01595658044244e-42
"ABI3",1.59886126036672e-46,1.79823161174126,0.365,0.147,3.78674300905253e-42
"ARPC2",4.25874345472521e-46,0.850522320968727,0.937,0.879,1.00864079981712e-41
"BCL11B",5.27149621750206e-46,0.633964745414291,0.589,0.292,1.24850116415319e-41
"EVI2B",1.03819513650774e-45,1.06550878918763,0.68,0.403,2.45886136130494e-41
"ARHGEF1",1.1509767421053e-45,1.24146056793206,0.795,0.607,2.72597331600219e-41
"GIMAP7",1.1631453647714e-45,0.734346620301219,0.606,0.313,2.75479348192459e-41
"ST6GALNAC6",1.20668592470406e-45,1.85150389151452,0.401,0.18,2.85791494406909e-41
"GBP4",2.02488886712115e-45,1.70985344533894,0.895,0.804,4.79574679288973e-41
"NELL2",2.44192546368492e-45,1.26739468295387,0.359,0.144,5.78345626819136e-41
"UBC",3.16239713071272e-45,1.17955443096485,0.973,0.93,7.48982136438e-41
"SEMA4D",1.16645577191308e-44,1.33495937096213,0.624,0.365,2.76263385019895e-40
"KIAA1551",7.4587550693218e-44,1.07112564953152,0.814,0.66,1.76653155061818e-39
"HLA-L",1.75093086523689e-43,1.21640367571759,0.897,0.732,4.14690466122705e-39
"MSN",2.44568819777515e-43,1.33839798394224,0.841,0.764,5.79236792761066e-39
"TBC1D10C",3.52502791291404e-43,0.892337176484804,0.619,0.349,8.34867610894562e-39
"BATF",4.50303321046593e-43,1.31323743033822,0.385,0.169,1.06649838556675e-38
"TNIP3",5.1064563009576e-43,3.19086706311622,0.464,0.237,1.2094131103188e-38
"HNRPLL",5.19970046449916e-43,1.82077671777872,0.577,0.351,1.23149705801198e-38
"NCALD",6.33416125780577e-43,2.65179153471774,0.32,0.124,1.50018275229872e-38
"PCED1B-AS1",6.37691949490722e-43,1.11434728859354,0.81,0.621,1.51030961317383e-38
"ITGAE",1.23660404772478e-42,3.15586522576277,0.471,0.271,2.92877302663137e-38
"APOBEC3C",3.09100646910721e-42,1.90797302280253,0.644,0.483,7.32073972143353e-38
"PSME1",3.67304500277893e-42,0.853762639183193,0.93,0.853,8.69923978458162e-38
"UBB",4.46748829045383e-42,0.926683487742277,0.95,0.889,1.05807992671109e-37
"LOC728558",6.46961678518233e-42,0.635791636848143,0.904,0.817,1.53226403940258e-37
"TBC1D4",1.36292382415889e-41,1.79669474702271,0.514,0.278,3.22794878513791e-37
"WNK1",1.51599518148746e-41,1.38340781671256,0.852,0.705,3.59048298783491e-37
"BTN3A1",4.11469717783248e-41,1.60175814412161,0.751,0.536,9.74524879597845e-37
"CHST12",1.11460304364193e-40,1.84808343323674,0.419,0.221,2.63982584856154e-36
"KIAA1324",1.11711021632195e-40,1.23746681354603,0.867,0.757,2.6457638363369e-36
"HCP5",1.199373602216e-40,1.6737272217696,0.48,0.261,2.84059643948837e-36
"RAB37",1.39582677693915e-40,1.48788525317287,0.405,0.19,3.30587613850269e-36
"TNFSF9",1.40288673613976e-40,2.64158452367505,0.292,0.112,3.32259694587341e-36
"PATL2",2.04269830439348e-40,1.8986516294508,0.291,0.11,4.83792666412551e-36
"PTGER4",3.84350092156835e-40,1.00685055553119,0.476,0.242,9.10294758264249e-36
"TESPA1",4.09940821990373e-40,1.48559410853275,0.623,0.391,9.70903842802e-36
"CYTIP",4.27968437551132e-40,0.79777951968348,0.725,0.442,1.0136004474961e-35
"TRAF3IP3",5.62977007992394e-40,1.05498294548907,0.61,0.353,1.33335474572919e-35
"APOBEC3D",6.17611231558636e-40,1.22302963910645,0.88,0.763,1.46275044082347e-35
"C16orf54",6.74187207450467e-40,0.517160923363727,0.816,0.59,1.59674498212569e-35
"GATA3",8.27394982889758e-40,1.42162803999063,0.338,0.138,1.9596022774761e-35
"HSPA8",8.88163433294584e-40,1.031917484845,0.958,0.911,2.10352627541489e-35
"LOC100190986",1.54879162124184e-39,1.14403968287022,0.941,0.903,3.66815807574917e-35
"EMB",1.70325222810574e-39,0.88166887917047,0.677,0.419,4.03398257704564e-35
"SP140",1.82735194132687e-39,1.02587920712042,0.514,0.27,4.32790033783856e-35
"SLFN13",7.27251456823302e-39,1.13455716518719,0.705,0.534,1.72242235034031e-34
"SYNE2",2.10175059355732e-38,0.993211666857968,0.852,0.684,4.97778610578116e-34
"IL21R",2.95138458218122e-38,1.94461824813456,0.633,0.423,6.99005924443799e-34
"LINC00152",8.19584005984943e-38,0.928680752231119,0.62,0.374,1.94110275977474e-33
"ACAP1",1.30530616745718e-37,1.0324582379956,0.599,0.357,3.09148712700557e-33
"MALAT1",1.90485064844004e-37,0.695415659384414,1,0.992,4.5114482757654e-33
"XAF1",2.0184225871942e-37,0.946122967258255,0.959,0.902,4.78043205551075e-33
"CELF2",3.06063523292219e-37,1.01962102149164,0.888,0.778,7.24880848565292e-33
"ARID5A",3.53930840364731e-37,1.58839933569557,0.48,0.282,8.38249802319829e-33
"HCLS1",7.86205775010139e-37,0.918571731149486,0.694,0.435,1.86204975753401e-32
"TAPBP",7.91204563473266e-37,0.772252521940093,0.994,0.985,1.87388888813008e-32
"ADORA2A",1.17710776342719e-36,2.13742042940883,0.275,0.107,2.78786202690095e-32
"HLA-F",3.25606028241183e-36,1.00926866078264,0.937,0.807,7.71165317286419e-32
"LOC100132247",3.465193189064e-36,1.27527320687352,0.781,0.671,8.20696354897918e-32
"NLRC3",6.57519564120319e-36,0.935324861038141,0.895,0.791,1.55726933566256e-31
"SH3BGRL3",1.29660178765752e-35,0.564855936390874,0.947,0.875,3.07087167388807e-31
"UTY",6.76828574535532e-35,1.75473569733666,0.704,0.536,1.60300079592995e-30
"LOC440354",1.7619775685838e-34,1.45648185830256,0.725,0.587,4.17306767343388e-30
"STAT1",3.10290449688795e-34,1.35714867575607,0.743,0.654,7.34891901042941e-30
"CLSTN3",4.34912922930028e-34,1.58415225167217,0.325,0.144,1.03004776666748e-29
"DEF6",4.67367773797024e-34,0.861497146416644,0.577,0.346,1.10691383546087e-29
"SERPINB9",6.89365706427544e-34,1.04134164875607,0.878,0.751,1.632693739103e-29
"CD53",9.1075350009961e-34,0.569543296100955,0.763,0.494,2.15702858963592e-29
"EZR",9.21648872105886e-34,0.905112982541206,0.853,0.747,2.18283318869558e-29
"STAT4",9.52222918424472e-34,0.716125444987442,0.471,0.249,2.25524475999652e-29
"TRPS1",1.29774807874627e-33,1.80102262316855,0.378,0.193,3.07358654970267e-29
"SYT11",2.16676168991757e-33,2.41681493517762,0.732,0.571,5.13175838640078e-29
"MCOLN2",4.68932759623651e-33,2.06246683864493,0.578,0.374,1.11062034789266e-28
"APOBEC3F",5.36499923254207e-33,1.09167070152959,0.918,0.835,1.27064641823526e-28
"FKBP5",1.44824164072962e-32,1.29844005914347,0.911,0.811,3.43001550190404e-28
"FUT8",3.11990258361807e-32,1.68639164328434,0.466,0.26,7.38917727904104e-28
"C5orf56",4.1794193437796e-32,1.53175296327114,0.363,0.178,9.89853677380761e-28
"LIMD2",5.5337440071214e-32,0.611668488146725,0.772,0.565,1.31061193064663e-27
"RDH10",7.65100671069886e-32,2.82518248160499,0.696,0.551,1.81206442936192e-27
"DOCK2",1.00981221662072e-31,0.780167103191523,0.574,0.342,2.39163925384452e-27
"CYTH4",1.06009143640258e-31,1.10743926550426,0.398,0.197,2.51072055797587e-27
"LAT",1.19725418934344e-31,0.633287706773229,0.487,0.269,2.835576822041e-27
"DENND1C",1.39800556223968e-31,1.31019890366295,0.412,0.221,3.31103637360845e-27
"GPR65",2.26350564692798e-31,1.05316714879601,0.718,0.53,5.36088677418422e-27
"LOC100506776",3.00472901591624e-31,1.71444141351454,0.647,0.454,7.11640020129602e-27
"SP4",3.18160162971625e-31,1.62594259008016,0.733,0.545,7.53530529981997e-27
"METTL21A",4.29887364594367e-31,0.600078470792043,0.99,0.984,1.0181452343053e-26
"PPP1R16B",7.31099298330559e-31,1.31060657986539,0.356,0.167,1.73153557816609e-26
"PAG1",1.03207848224524e-30,1.39699116088708,0.863,0.75,2.44437467734963e-26
"ELMO1",1.77781360543082e-30,1.31850610597047,0.64,0.464,4.21057374310235e-26
"CRIM1",2.00783298670059e-30,1.74791297164053,0.335,0.158,4.75535164570168e-26
"TMEM2",2.32758335875667e-30,1.28047138047838,0.669,0.49,5.51264842687929e-26
"ACSL5",6.77054789447589e-30,1.54265039345891,0.367,0.186,1.60353656332767e-25
"BTN3A2",8.37492003875783e-30,1.23832809527126,0.874,0.77,1.9835160619794e-25
"SLC9A3R1",8.98486057629167e-30,1.53534144866647,0.517,0.339,2.12797437888892e-25
"KLF12",1.98205114709223e-29,1.17663724748689,0.507,0.314,4.69428993677323e-25
"SH3KBP1",2.62968487627495e-29,1.12395030145398,0.742,0.603,6.2281456609696e-25
"PTPLAD2",2.68612964595581e-29,1.48569589336362,0.279,0.122,6.36182945348173e-25
"GZMM",3.33363586805528e-29,0.853245229801201,0.339,0.163,7.89538318990212e-25
