"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SLC35B24",4.61932077198952e-36,0.722125629920024,0.889,0.334,1.094039931638e-31
"SPIRE12",5.32026086923304e-36,1.82839691428199,0.489,0.119,1.26005058426915e-31
"HCFC1R11",5.82649615417265e-36,1.02390446908899,0.704,0.222,1.37994734915425e-31
"MT2A2",5.86189601983119e-36,0.88199049438923,0.97,0.496,1.38833145333682e-31
"CRTAP3",6.61394090506505e-36,1.45400172260449,0.978,0.693,1.56644576395561e-31
"PTGFRN2",7.26678578249123e-36,1.06364747948356,0.556,0.143,1.72106554472522e-31
"PLXNC11",7.70406039545833e-36,1.22211212640316,0.704,0.235,1.82462966406035e-31
"NFE2L11",1.1232728518181e-35,1.23140149458383,0.807,0.326,2.66035942224598e-31
"FAM127B3",1.18699677165289e-35,0.833990136207204,0.844,0.292,2.8112831539827e-31
"SSFA24",1.74187703384397e-35,0.999537286360785,0.793,0.277,4.12546156695605e-31
"LONRF12",1.98891507797263e-35,0.891468350496967,0.57,0.157,4.71054647067037e-31
"RDX2",2.07163882286499e-35,0.938124277393988,0.867,0.336,4.90646938807345e-31
"ST3GAL51",2.15332177330323e-35,1.16010128534075,0.719,0.24,5.09992728789136e-31
